"entrez","hgnc_id","hgnc_gene","hgnc_symbol","gene_type"
"134391","23624","G protein-coupled receptor 151","GPR151","protein-coding gene"
"9853","23625","RUN and SH3 domain containing 2","RUSC2","protein-coding gene"
"442206","23626","G protein-coupled receptor 166 pseudogene","GPR166P","pseudogene"
"344758","23627","G protein-coupled receptor 149","GPR149","protein-coding gene"
"285601","23628","G protein-coupled receptor 150","GPR150","protein-coding gene"
"387129","23631","neuropeptide S receptor 1","NPSR1","protein-coding gene"
"55848","23633","plasminogen receptor with a C-terminal lysine","PLGRKT","protein-coding gene"
"414213","23637","glutamate dehydrogenase 1 pseudogene 8","GLUD1P8","pseudogene"
"9652","23639","tetratricopeptide repeat domain 37","TTC37","protein-coding gene"
"79692","23640","zinc finger protein 322","ZNF322","protein-coding gene"
"55335","23641","nipsnap homolog 3B","NIPSNAP3B","protein-coding gene"
"81571","23642","MIR600 host gene","MIR600HG","non-coding RNA"
"253650","23643","ankyrin repeat domain 18A","ANKRD18A","protein-coding gene"
"441459","23644","ankyrin repeat domain 18B","ANKRD18B","protein-coding gene"
"644496","23645","cathepsin L pseudogene 4","CTSLP4","pseudogene"
"84658","23647","adhesion G protein-coupled receptor E3","ADGRE3","protein-coding gene"
"399761","23649","BMS1, ribosome biogenesis factor pseudogene 1","BMS1P1","pseudogene"
"642826","23650","BMS1, ribosome biogenesis factor pseudogene 2","BMS1P2","pseudogene"
"414217","23651","BMS1, ribosome biogenesis factor pseudogene 3","BMS1P3","pseudogene"
"729096","23652","BMS1, ribosome biogenesis factor pseudogene 4","BMS1P4","pseudogene"
"100133265","23655","BMS1, ribosome biogenesis factor pseudogene 7","BMS1P7","pseudogene"
"92609","23656","translocase of inner mitochondrial membrane 50","TIMM50","protein-coding gene"
"10020","23657","glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase","GNE","protein-coding gene"
"50514","23658","deleted in esophageal cancer 1","DEC1","protein-coding gene"
"653234","23659","ArfGAP with GTPase domain, ankyrin repeat and PH domain 10 pseudogene","AGAP10P","pseudogene"
"653259","23660","ArfGAP with GTPase domain, ankyrin repeat and PH domain 14","AGAP14","other"
"414224","23661","ArfGAP with GTPase domain, ankyrin repeat and PH domain 12, pseudogene","AGAP12P","pseudogene"
"646753","23662","ribosomal protein S26 pseudogene 2","RPS26P2","pseudogene"
"79001","23663","vitamin K epoxide reductase complex subunit 1","VKORC1","protein-coding gene"
"9644","23664","SH3 and PX domains 2A","SH3PXD2A","protein-coding gene"
"84210","23665","ankyrin repeat domain 20 family member A1","ANKRD20A1","protein-coding gene"
"729171","23666","ankyrin repeat domain 20 family member A8, pseudogene","ANKRD20A8P","pseudogene"
"100133121","23667","family with sequence similarity 27 member B","FAM27B","non-coding RNA"
"100132948","23668","family with sequence similarity 27 member C","FAM27C","non-coding RNA"
"286223","23669","chromosome 9 open reading frame 47","C9orf47","protein-coding gene"
"360203","23671","glycosyltransferase 6 domain containing 1","GLT6D1","protein-coding gene"
"84278","23672","major facilitator superfamily domain containing 14C","MFSD14C","other"
"256691","23673","MAM domain containing 2","MAMDC2","protein-coding gene"
"643224","23674","tubulin beta pseudogene 5","TUBBP5","pseudogene"
"340485","23675","alkaline ceramidase 2","ACER2","protein-coding gene"
"645345","23676","coiled-coil-helix-coiled-coil-helix domain containing 2 pseudogene 9","CHCHD2P9","pseudogene"
"375759","23677","chromosome 9 open reading frame 50","C9orf50","protein-coding gene"
"647044","23678","family with sequence similarity 220 member B, pseudogene","FAM220BP","pseudogene"
"389792","23679","immediate early response 5 like","IER5L","protein-coding gene"
"653163","23680","lipocalin 1 pseudogene 2","LCN1P2","pseudogene"
"493987","23681","metallothionein 1 pseudogene 1","MT1P1","pseudogene"
"403313","23682","phospholipid phosphatase 6","PLPP6","protein-coding gene"
"441400","23683","RAB1C, member RAS oncogene family pseudogene","RAB1C","pseudogene"
"158104","23684","ribosomal protein S10 pseudogene 3","RPS10P3","pseudogene"
"401548","23685","sorting nexin family member 30","SNX30","protein-coding gene"
"79269","23686","DDB1 and CUL4 associated factor 10","DCAF10","protein-coding gene"
"80045","23687","G protein-coupled receptor 157","GPR157","protein-coding gene"
"283149","23688","B-cell CLL/lymphoma 9 like","BCL9L","protein-coding gene"
"57512","23689","G protein-coupled receptor 158","GPR158","protein-coding gene"
"55876","23690","gasdermin B","GSDMB","protein-coding gene"
"57007","23692","atypical chemokine receptor 3","ACKR3","protein-coding gene"
"26996","23693","G protein-coupled receptor 160","GPR160","protein-coding gene"
"23432","23694","G protein-coupled receptor 161","GPR161","protein-coding gene"
"85458","23695","DIX domain containing 1","DIXDC1","protein-coding gene"
"25976","23696","TCDD inducible poly(ADP-ribose) polymerase","TIPARP","protein-coding gene"
"23187","23697","pleckstrin homology like domain family B member 1","PHLDB1","protein-coding gene"
"91010","23698","formin like 3","FMNL3","protein-coding gene"
"165721","23699","DnaJ heat shock protein family (Hsp40) member B8","DNAJB8","protein-coding gene"
"54970","23700","tetratricopeptide repeat domain 12","TTC12","protein-coding gene"
"79956","23703","endoplasmic reticulum metallopeptidase 1","ERMP1","protein-coding gene"
"158219","23704","tetratricopeptide repeat domain 39B","TTC39B","protein-coding gene"
"57474","23705","zinc finger protein 490","ZNF490","protein-coding gene"
"126069","23706","zinc finger protein 491","ZNF491","protein-coding gene"
"57615","23707","zinc finger protein 492","ZNF492","protein-coding gene"
"284443","23708","zinc finger protein 493","ZNF493","protein-coding gene"
"201516","23709","zinc finger and SCAN domain containing 4","ZSCAN4","protein-coding gene"
"79149","23710","zinc finger and SCAN domain containing 5A","ZSCAN5A","protein-coding gene"
"221035","23711","receptor accessory protein 3","REEP3","protein-coding gene"
"284312","23712","zinc finger and SCAN domain containing 1","ZSCAN1","protein-coding gene"
"84838","23713","zinc finger protein 496","ZNF496","protein-coding gene"
"162968","23714","zinc finger protein 497","ZNF497","protein-coding gene"
"84878","23715","zinc finger and BTB domain containing 45","ZBTB45","protein-coding gene"
"26048","23716","zinc finger protein 500","ZNF500","protein-coding gene"
"115560","23717","zinc finger protein 501","ZNF501","protein-coding gene"
"91392","23718","zinc finger protein 502","ZNF502","protein-coding gene"
"93210","23719","post-GPI attachment to proteins 3","PGAP3","protein-coding gene"
"64764","23720","cAMP responsive element binding protein 3 like 2","CREB3L2","protein-coding gene"
"56829","23721","zinc finger CCCH-type containing, antiviral 1","ZC3HAV1","protein-coding gene"
"51148","23723","cerebral endothelial cell adhesion molecule","CERCAM","protein-coding gene"
"84986","23724","Rho GTPase activating protein 19","ARHGAP19","protein-coding gene"
"57584","23725","Rho GTPase activating protein 21","ARHGAP21","protein-coding gene"
"83641","23726","family with sequence similarity 107 member B","FAM107B","protein-coding gene"
"143384","23727","CDK2 associated cullin domain 1","CACUL1","protein-coding gene"
"254427","23728","proline and serine rich 2","PROSER2","protein-coding gene"
"283078","23729","mohawk homeobox","MKX","protein-coding gene"
"9721","23730","G protein regulated inducer of neurite outgrowth 2","GPRIN2","protein-coding gene"
"359744","23731","mitochondrial ribosomal protein L35 pseudogene 3","MRPL35P3","pseudogene"
"55844","23732","protein phosphatase 2 regulatory subunit Bdelta","PPP2R2D","protein-coding gene"
"266971","23733","PIP5K1A and PSMD4-like, pseudogene","PIPSL","pseudogene"
"256297","23734","pancreas specific transcription factor, 1a","PTF1A","protein-coding gene"
"645161","23735","ribosomal protein L12 pseudogene 8","RPL12P8","pseudogene"
"728658","23736","ribosomal protein L13a pseudogene 5","RPL13AP5","pseudogene"
"644511","23737","ribosomal protein L13a pseudogene 6","RPL13AP6","pseudogene"
"340749","23738","ribosomal protein L7a pseudogene 8","RPL7AP8","pseudogene"
"414228","23740","ribosomal protein S27 pseudogene 1","RPS27P1","pseudogene"
"414230","23743","ribosomal protein S15a pseudogene 5","RPS15AP5","pseudogene"
"439992","23744","ribosomal protein S3A pseudogene 5","RPS3AP5","pseudogene"
"401551","23745","WD repeat domain 38","WDR38","protein-coding gene"
"54550","23746","N-terminal EF-hand calcium binding protein 2","NECAB2","protein-coding gene"
"79603","23747","ceramide synthase 4","CERS4","protein-coding gene"
"91012","23749","ceramide synthase 5","CERS5","protein-coding gene"
"201965","23750","RWD domain containing 4","RWDD4","protein-coding gene"
"204219","23752","ceramide synthase 3","CERS3","protein-coding gene"
"100419903","23753","RWD domain containing 4 pseudogene 1","RWDD4P1","pseudogene"
"647009","23754","RWD domain containing 4 pseudogene 2","RWDD4P2","pseudogene"
"284821","23755","ribosomal protein L13a pseudogene 7","RPL13AP7","pseudogene"
"391269","23756","ankyrin repeat domain 20 family member A18, pseudogene","ANKRD20A18P","pseudogene"
"253152","23758","epoxide hydrolase 4","EPHX4","protein-coding gene"
"79575","23759","abhydrolase domain containing 8","ABHD8","protein-coding gene"
"79852","23760","epoxide hydrolase 3","EPHX3","protein-coding gene"
"55709","23761","kelch repeat and BTB domain containing 4","KBTBD4","protein-coding gene"
"349334","23762","forkhead box D4-like 4","FOXD4L4","protein-coding gene"
"339221","23764","ectonucleotide pyrophosphatase/phosphodiesterase 7","ENPP7","protein-coding gene"
"100499261","23765","basic transcription factor 3 pseudogene 6","BTF3P6","pseudogene"
"654376","23766","ribosomal protein L12 pseudogene 9","RPL12P9","pseudogene"
"56168","23767","mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 pseudogene 2","MTND2P2","pseudogene"
"387491","23768","glyceraldehyde-3-phosphate dehydrogenase pseudogene 16","GAPDHP16","pseudogene"
"387492","23769","destrin, actin depolymerizing factor pseudogene 1","DSTNP1","pseudogene"
"653108","23770","CXADR pseudogene 1","CXADRP1","pseudogene"
"100132509","23771","zinc finger protein 114 pseudogene 1","ZNF114P1","pseudogene"
"100431168","23772","myosin light chain 6 pseudogene 2","MYL6P2","pseudogene"
"100151645","23773","upstream transcription factor 1 pseudogene 1","USF1P1","pseudogene"
"387494","23774","ribosomal protein L18a pseudogene 2","RPL18AP2","pseudogene"
"692146","23775","ribosomal protein S26 pseudogene 4","RPS26P4","pseudogene"
"387495","23776","ribosomal protein S26 pseudogene 5","RPS26P5","pseudogene"
"100462813","23777","ras homolog family member T1 pseudogene 1","RHOT1P1","pseudogene"
"654377","23778","checkpoint suppressor 1-like 1","CHES1L1","other"
"440515","23780","zinc finger protein 506","ZNF506","protein-coding gene"
"26073","23781","DNA polymerase delta interacting protein 2","POLDIP2","protein-coding gene"
"84271","23782","DNA polymerase delta interacting protein 3","POLDIP3","protein-coding gene"
"22847","23783","zinc finger protein 507","ZNF507","protein-coding gene"
"57504","23784","metastasis associated 1 family member 3","MTA3","protein-coding gene"
"200576","23785","phosphoinositide kinase, FYVE-type zinc finger containing","PIKFYVE","protein-coding gene"
"79837","23786","phosphatidylinositol-5-phosphate 4-kinase type 2 gamma","PIP4K2C","protein-coding gene"
"57156","23787","transmembrane protein 63C","TMEM63C","protein-coding gene"
"57718","23788","protein phosphatase 4 regulatory subunit 4","PPP4R4","protein-coding gene"
"51550","23789","cyclin dependent kinase 2 interacting protein","CINP","protein-coding gene"
"115708","23790","tRNA methyltransferase 61A","TRMT61A","protein-coding gene"
"64423","23791","inverted formin, FH2 and WH2 domain containing","INF2","protein-coding gene"
"122618","23792","phospholipase D family member 4","PLD4","protein-coding gene"
"728239","23793","MAGE family member D4","MAGED4","protein-coding gene"
"23241","23794","phosphofurin acidic cluster sorting protein 2","PACS2","protein-coding gene"
"347541","23795","MAGE family member B5","MAGEB5","protein-coding gene"
"158809","23796","MAGE family member B6","MAGEB6","protein-coding gene"
"81890","23797","queuine tRNA-ribosyltransferase catalytic subunit 1","QTRT1","protein-coding gene"
"139081","23798","MAGE family member C3","MAGEC3","protein-coding gene"
"373863","23799","DND microRNA-mediated repression inhibitor 1","DND1","protein-coding gene"
"57568","23800","signal induced proliferation associated 1 like 2","SIPA1L2","protein-coding gene"
"23094","23801","signal induced proliferation associated 1 like 3","SIPA1L3","protein-coding gene"
"387496","23802","RAS like family 11 member A","RASL11A","protein-coding gene"
"22850","23803","ADNP homeobox 2","ADNP2","protein-coding gene"
"65997","23804","RAS like family 11 member B","RASL11B","protein-coding gene"
"55252","23805","additional sex combs like 2, transcriptional regulator","ASXL2","protein-coding gene"
"55623","23807","THUMP domain containing 1","THUMPD1","protein-coding gene"
"391276","23808","THUMP domain containing 1 pseudogene 1","THUMPD1P1","pseudogene"
"83643","23813","coiled-coil domain containing 3","CCDC3","protein-coding gene"
"389206","23815","BEN domain containing 4","BEND4","protein-coding gene"
"25904","23817","CCR4-NOT transcription complex subunit 10","CNOT10","protein-coding gene"
"23076","23818","ribosomal RNA processing 1B","RRP1B","protein-coding gene"
"144455","23820","E2F transcription factor 7","E2F7","protein-coding gene"
"150147","23821","UMODL1 antisense RNA 1","UMODL1-AS1","non-coding RNA"
"317754","23822","POTE ankyrin domain family member D","POTED","protein-coding gene"
"27259","23824","hemophagocytic lymphohistiocytosis 1","HPLH1","phenotype"
"79817","23825","MOB kinase activator 3B","MOB3B","protein-coding gene"
"253782","23826","ceramide synthase 6","CERS6","protein-coding gene"
"170815","23827","body mass index QTL 1","BMIQ1","phenotype"
"192149","23828","body mass index QTL 2","BMIQ2","phenotype"
"337895","23829","body mass index QTL 3","BMIQ3","phenotype"
"51198","23831","CDKN2A antisense RNA 1 (head to head)","CDKN2A-AS1","non-coding RNA"
"9925","23836","zinc finger and BTB domain containing 5","ZBTB5","protein-coding gene"
"121601","23837","anoctamin 4","ANO4","protein-coding gene"
"391282","23840","ribosomal protein L23a pseudogene 12","RPL23AP12","pseudogene"
"80852","23841","glutamate receptor interacting protein 2","GRIP2","protein-coding gene"
"25841","23842","ankyrin repeat and BTB domain containing 2","ABTB2","protein-coding gene"
"64395","23843","germ cell-less, spermatogenesis associated 1","GMCL1","protein-coding gene"
"121551","23844","BTB domain containing 11","BTBD11","protein-coding gene"
"84464","23845","SLX4 structure-specific endonuclease subunit","SLX4","protein-coding gene"
"138151","23846","NACC family member 2","NACC2","protein-coding gene"
"57659","23847","zinc finger and BTB domain containing 4","ZBTB4","protein-coding gene"
"140043","23848","chromodomain Y-linked 10 pseudogene","CDY10P","pseudogene"
"286556","23849","chromodomain Y-linked 3 pseudogene","CDY3P","pseudogene"
"378008","23850","chromodomain Y-linked 5 pseudogene","CDY5P","pseudogene"
"378011","23851","chromodomain Y-linked 9 pseudogene","CDY9P","pseudogene"
"378014","23852","chromodomain protein Y-linked 11 pseudogene","CDY11P","pseudogene"
"386730","23853","chromodomain Y-linked 6 pseudogene","CDY6P","pseudogene"
"386731","23854","chromodomain Y-linked 7 pseudogene","CDY7P","pseudogene"
"386732","23855","chromodomain Y-linked 8 pseudogene","CDY8P","pseudogene"
"386734","23856","chromodomain Y-linked 12 pseudogene","CDY12P","pseudogene"
"386735","23857","chromodomain Y-linked 13 pseudogene","CDY13P","pseudogene"
"386736","23858","chromodomain protein Y-linked 14 pseudogene","CDY14P","pseudogene"
"386737","23859","chromodomain Y-linked 15 pseudogene","CDY15P","pseudogene"
"386738","23860","chromodomain Y-linked 16 pseudogene","CDY16P","pseudogene"
"386739","23861","chromodomain Y-linked 17 pseudogene","CDY17P","pseudogene"
"386740","23862","chromodomain Y-linked 18 pseudogene","CDY18P","pseudogene"
"386741","23863","chromodomain Y-linked 19 pseudogene","CDY19P","pseudogene"
"386742","23864","chromodomain Y-linked 20 pseudogene","CDY20P","pseudogene"
"386743","23865","chromodomain Y-linked 21 pseudogene","CDY21P","pseudogene"
"386744","23866","chromodomain Y-linked 22 pseudogene","CDY22P","pseudogene"
"386745","23867","chromodomain Y-linked 23 pseudogene","CDY23P","pseudogene"
"386725","23868","family with sequence similarity 8 member A7, pseudogene","FAM8A7P","pseudogene"
"386727","23870","family with sequence similarity 8 member A9, pseudogene","FAM8A9P","pseudogene"
"386728","23871","family with sequence similarity 8 member A10, pseudogene","FAM8A10P","pseudogene"
"386729","23872","chromodomain Y-linked 4 pseudogene","CDY4P","pseudogene"
"378009","23873","OFD1 pseudogene 1, Y-linked","OFD1P1Y","pseudogene"
"378010","23874","OFD1 pseudogene 2, Y-linked","OFD1P2Y","pseudogene"
"386687","23875","OFD1 pseudogene 3, Y-linked","OFD1P3Y","pseudogene"
"386688","23876","OFD1 pseudogene 4, Y-linked","OFD1P4Y","pseudogene"
"386689","23877","OFD1 pseudogene 5, Y-linked","OFD1P5Y","pseudogene"
"386691","23879","OFD1 pseudogene 7, Y-linked","OFD1P7Y","pseudogene"
"386692","23880","OFD1 pseudogene 8, Y-linked","OFD1P8Y","pseudogene"
"386693","23881","OFD1 pseudogene 9, Y-linked","OFD1P9Y","pseudogene"
"386694","23882","OFD1 pseudogene 10, Y-linked","OFD1P10Y","pseudogene"
"386695","23883","OFD1 pseudogene 11, Y-linked","OFD1P11Y","pseudogene"
"386696","23884","OFD1 pseudogene 12, Y-linked","OFD1P12Y","pseudogene"
"386697","23885","OFD1 pseudogene 13, Y-linked","OFD1P13Y","pseudogene"
"386698","23886","OFD1 pseudogene 14, Y-linked","OFD1P14Y","pseudogene"
"386699","23887","OFD1 pseudogene 15, Y-linked","OFD1P15Y","pseudogene"
"140100","23888","RNA binding motif protein, Y-linked, family 2, member K pseudogene","RBMY2KP","pseudogene"
"140101","23889","RNA binding motif protein, Y-linked, family 2, member M pseudogene","RBMY2MP","pseudogene"
"159125","23890","RNA binding motif protein, Y-linked, family 2, member E pseudogene","RBMY2EP","pseudogene"
"159162","23891","RNA binding motif protein, Y-linked, family 2, member F pseudogene","RBMY2FP","pseudogene"
"378952","23892","RNA binding motif protein, Y-linked, family 2, member G pseudogene","RBMY2GP","pseudogene"
"378953","23893","RNA binding motif protein, Y-linked, family 2, member H pseudogene","RBMY2HP","pseudogene"
"379005","23894","RNA binding motif protein, Y-linked, family 2, member O pseudogene","RBMY2OP","pseudogene"
"379006","23895","RNA binding motif protein, Y-linked, family 2, member Q pseudogene","RBMY2QP","pseudogene"
"379007","23896","RNA binding motif protein, Y-linked, family 2, member S pseudogene","RBMY2SP","pseudogene"
"379008","23897","RNA binding motif protein, Y-linked, family 2, member T pseudogene","RBMY2TP","pseudogene"
"379009","23898","RNA binding motif protein, Y-linked, family 2, member U pseudogene","RBMY2UP","pseudogene"
"379010","23899","RNA binding motif protein, Y-linked, family 2, member V pseudogene","RBMY2VP","pseudogene"
"379011","23900","RNA binding motif protein, Y-linked, family 2, member W pseudogene","RBMY2WP","pseudogene"
"379012","23901","RNA binding motif protein, Y-linked, family 2, member X pseudogene","RBMY2XP","pseudogene"
"379024","23902","RNA binding motif protein, Y-linked, family 2, member Y pseudogene","RBMY2YP","pseudogene"
"347584","23903","testis specific protein, Y-linked 11, pseudogene","TSPY11P","pseudogene"
"377997","23904","testis specific protein, Y-linked 12, pseudogene","TSPY12P","pseudogene"
"378001","23905","testis specific protein, Y-linked 13, pseudogene","TSPY13P","pseudogene"
"378013","23906","testis specific protein, Y-linked 14, pseudogene","TSPY14P","pseudogene"
"379027","23907","testis specific protein, Y-linked 5, pseudogene","TSPY5P","pseudogene"
"379028","23908","XK related, Y-linked pseudogene 1","XKRYP1","pseudogene"
"379029","23909","XK related, Y-linked pseudogene 2","XKRYP2","pseudogene"
"379030","23910","XK related, Y-linked pseudogene 3","XKRYP3","pseudogene"
"379031","23911","XK related, Y-linked pseudogene 4","XKRYP4","pseudogene"
"379032","23912","XK related, Y-linked pseudogene 5","XKRYP5","pseudogene"
"379033","23913","XK related, Y-linked pseudogene 6","XKRYP6","pseudogene"
"378948","23914","RNA binding motif protein, Y-linked, family 1, member B","RBMY1B","protein-coding gene"
"378949","23915","RNA binding motif protein, Y-linked, family 1, member D","RBMY1D","protein-coding gene"
"378950","23916","RNA binding motif protein, Y-linked, family 1, member E","RBMY1E","protein-coding gene"
"378951","23917","RNA binding motif protein, Y-linked, family 1, member J","RBMY1J","protein-coding gene"
"378955","23918","RNA binding motif protein, Y-linked, family 2, member J pseudogene","RBMY2JP","pseudogene"
"378956","23919","RNA binding motif protein, Y-linked, family 2, member N pseudogene","RBMY2NP","pseudogene"
"253175","23920","chromodomain Y-linked 1B","CDY1B","protein-coding gene"
"203611","23921","chromodomain Y-linked 2B","CDY2B","protein-coding gene"
"353515","23922","XK related, Y-linked 2","XKRY2","other"
"64591","23924","testis specific protein, Y-linked 2","TSPY2","protein-coding gene"
"9811","23925","cap binding complex dependent translation initiation factor","CTIF","protein-coding gene"
"9270","23927","integrin subunit beta 1 binding protein 1","ITGB1BP1","protein-coding gene"
"286544","23932","matrix remodeling associated 5, Y-linked (pseudogene)","MXRA5Y","pseudogene"
"359997","23933","ATP synthase, H+ transporting, mitochondrial Fo complex subunit F6 pseudogene 1","ATP5JP1","pseudogene"
"360016","23935","capicua transcriptional repressor pseudogene 2","CICP2","pseudogene"
"360017","23936","capicua transcriptional repressor pseudogene 1","CICP1","pseudogene"
"359998","23937","CHRFAM7A pseudogene 2","CHRFAM7AP2","pseudogene"
"352905","23940","C-terminal binding protein 2 pseudogene 1","CTBP2P1","pseudogene"
"286550","23941","cytochrome c, somatic pseudogene 46","CYCSP46","pseudogene"
"360188","23942","cytochrome c, somatic pseudogene 48","CYCSP48","pseudogene"
"360009","23943","cytochrome c, somatic pseudogene 49","CYCSP49","pseudogene"
"360014","23945","discs large homolog associated protein 5 pseudogene 1","DLGAP5P1","pseudogene"
"359792","23946","eukaryotic translation initiation factor 4A1 pseudogene 2","EIF4A1P2","pseudogene"
"140028","23947","glyceraldehyde 3 phosphate dehydrogenase pseudogene 19","GAPDHP19","pseudogene"
"360018","23949","proline rich coiled-coil 2C pseudogene 1","PRRC2CP1","pseudogene"
"159119","23950","heat shock transcription factor, Y-linked 2","HSFY2","protein-coding gene"
"360029","23951","family with sequence similarity 199, Y-linked, pseudogene","FAM199YP","pseudogene"
"286554","23953","BCL6 corepressor pseudogene 1","BCORP1","pseudogene"
"340618","23955","family with sequence similarity 41 member A, Y-linked 1","FAM41AY1","non-coding RNA"
"360028","23956","transmembrane protein 167A pseudogene 1","TMEM167AP1","pseudogene"
"360024","23958","golgin A6 family-like 11, pseudogene","GOLGA6L11P","pseudogene"
"360025","23959","golgin A6 family-like 12, pseudogene","GOLGA6L12P","pseudogene"
"360026","23960","golgin A6 family-like 13, pseudogene","GOLGA6L13P","pseudogene"
"360027","23961","golgin A6 family-like 14, pseudogene","GOLGA6L14P","pseudogene"
"360019","23962","keratin 18 pseudogene 10","KRT18P10","pseudogene"
"359794","23963","tumor suppressor candidate 2 pseudogene 1","TUSC2P1","pseudogene"
"347587","23965","mitochondrial ribosomal protein L57 pseudogene 10","MRPL57P10","pseudogene"
"359996","23967","SERPINE1 mRNA binding protein 1 pseudogene 2","SERBP1P2","pseudogene"
"360022","23968","PC4 and SFRS1 interacting protein 1 pseudogene 2","PSIP1P2","pseudogene"
"360020","23970","protein phosphatase 1 regulatory subunit 12B pseudogene 2","PPP1R12BP2","pseudogene"
"360015","23971","raftlin, lipid raft linker 1 pseudogene 1","RFTN1P1","pseudogene"
"159163","23974","RNA binding motif protein, Y-linked, family 1, member F","RBMY1F","protein-coding gene"
"359796","23976","lysine demethylase 5D pseudogene 1","KDM5DP1","pseudogene"
"503640","23977","arginine-fifty homeobox pseudogene 2","ARGFXP2","pseudogene"
"286555","23979","transducin beta like 1, Y-linked pseudogene 1","TBL1YP1","pseudogene"
"140004","23981","tubulin beta 1 class VI pseudogene 2","TUBB1P2","pseudogene"
"349448","23982","tubulin beta 1 class VI pseudogene 1","TUBB1P1","pseudogene"
"359798","23983","ubiquitin conjugating enzyme E2 V1 pseudogene 3","UBE2V1P3","pseudogene"
"728343","23984","nuclear RNA export factor 2B","NXF2B","protein-coding gene"
"143501","23986","chromosome 11 open reading frame 40","C11orf40","protein-coding gene"
"55967","23987","NADH:ubiquinone oxidoreductase subunit A12","NDUFA12","protein-coding gene"
"84680","23989","1-aminocyclopropane-1-carboxylate synthase homolog (inactive)","ACCS","protein-coding gene"
"342667","23990","SH3 and cysteine rich domain 2","STAC2","protein-coding gene"
"64108","23992","receptor transporter protein 4","RTP4","protein-coding gene"
"132949","23993","aminoadipate-semialdehyde dehydrogenase","AASDH","protein-coding gene"
"90459","23994","exoribonuclease 1","ERI1","protein-coding gene"
"55831","23999","ER membrane protein complex subunit 3","EMC3","protein-coding gene"
"118812","24001","MORN repeat containing 4","MORN4","protein-coding gene"
"64343","24002","5-azacytidine induced 2","AZI2","protein-coding gene"
"170572","24003","5-hydroxytryptamine receptor 3C","HTR3C","protein-coding gene"
"200909","24004","5-hydroxytryptamine receptor 3D","HTR3D","protein-coding gene"
"285242","24005","5-hydroxytryptamine receptor 3E","HTR3E","protein-coding gene"
"83858","24007","ATPase family, AAA domain containing 3B","ATAD3B","protein-coding gene"
"375056","24008","MIA family member 3, ER export factor","MIA3","protein-coding gene"
"139322","24009","apolipoprotein O like","APOOL","protein-coding gene"
"89876","24010","MYCBP associated and testis expressed 1","MAATS1","protein-coding gene"
"10152","24011","abl interactor 2","ABI2","protein-coding gene"
"55323","24012","La ribonucleoprotein domain family member 6","LARP6","protein-coding gene"
"30836","24013","deoxynucleotidyltransferase terminal interacting protein 2","DNTTIP2","protein-coding gene"
"170622","24015","COMM domain containing 6","COMMD6","protein-coding gene"
"60312","24017","actin filament associated protein 1","AFAP1","protein-coding gene"
"81569","24018","actin like 8","ACTL8","protein-coding gene"
"84517","24022","actin related protein T3","ACTRT3","protein-coding gene"
"339451","24023","kelch like family member 17","KLHL17","protein-coding gene"
"388714","24024","flavin containing monooxygenase 6 pseudogene","FMO6P","pseudogene"
"64431","24025","ARP6 actin related protein 6 homolog","ACTR6","protein-coding gene"
"140625","24026","actin related protein T2","ACTRT2","protein-coding gene"
"139741","24027","actin related protein T1","ACTRT1","protein-coding gene"
"83729","24029","inhibin beta E subunit","INHBE","protein-coding gene"
"57409","24030","MIF4G domain containing","MIF4GD","protein-coding gene"
"57405","24031","SPC25, NDC80 kinetochore complex component","SPC25","protein-coding gene"
"388649","24032","chromosome 1 open reading frame 146","C1orf146","protein-coding gene"
"83935","24033","transmembrane protein 133","TMEM133","protein-coding gene"
"64318","24034","NOC3 like DNA replication regulator","NOC3L","protein-coding gene"
"26060","24035","adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 1","APPL1","protein-coding gene"
"10297","24036","APC2, WNT signaling pathway regulator","APC2","protein-coding gene"
"266920","24037","adenylate kinase 2 pseudogene 1","AK2P1","pseudogene"
"109729086","24038","deafness, autosomal recessive 54","DFNB54","phenotype"
"79827","24039","CXADR like membrane protein","CLMP","protein-coding gene"
"51094","24040","adiponectin receptor 1","ADIPOR1","protein-coding gene"
"79602","24041","adiponectin receptor 2","ADIPOR2","protein-coding gene"
"25937","24042","WW domain containing transcription regulator 1","WWTR1","protein-coding gene"
"10974","24043","adipogenesis regulatory factor","ADIRF","protein-coding gene"
"729533","24044","family with sequence similarity 72 member A","FAM72A","protein-coding gene"
"165679","24045","serine palmitoyltransferase small subunit B","SPTSSB","protein-coding gene"
"115761","24046","ADP ribosylation factor like GTPase 11","ARL11","protein-coding gene"
"64225","24047","atlastin GTPase 2","ATL2","protein-coding gene"
"151188","24048","ADP ribosylation factor like GTPase 6 interacting protein 6","ARL6IP6","protein-coding gene"
"116969","24049","ADP-ribosyltransferase 5","ART5","protein-coding gene"
"153222","24050","CREB3 regulatory factor","CREBRF","protein-coding gene"
"121536","24051","AE binding protein 2","AEBP2","protein-coding gene"
"57082","24054","kinetochore scaffold 1","KNL1","protein-coding gene"
"163590","24055","torsin 1A interacting protein 2","TOR1AIP2","protein-coding gene"
"246181","24056","aldo-keto reductase family 7 like (gene/pseudogene)","AKR7L","protein-coding gene"
"83878","24058","USH1 protein network component harmonin binding protein 1","USHBP1","protein-coding gene"
